scenario,source,candidate,time_hours,error,interval_seconds,integral,derivative,integral_step_seconds,cycle_changed,observed_interval_seconds,observed_integral
historical,sanitized-historical,kp-80,0.833056,-0.75,35878.829701,1615769.1,-0.000174,300,false,35856,1076903.6
historical,sanitized-historical,kp-80,0.999722,-0.849,35867.145127,1615514.4,-0.000171,300,false,35838,1076648.8
historical,sanitized-historical,kp-80,1.166389,-0.948,35854.822422,1615230,-0.00017,300,false,35820,1076364.3
historical,sanitized-historical,kp-80,1.333056,-1.048,35841.834082,1614915.6,-0.000169,300,false,35800,1076050
historical,sanitized-historical,kp-80,1.5,-1.147,35828.201646,1614571.5,-0.000168,300,false,35780,1075706
historical,sanitized-historical,kp-80,1.666389,-1.246,35813.920954,1614197.7,-0.000167,300,false,35759,1075332.2
historical,sanitized-historical,kp-80,1.833056,-1.345,35798.989026,1613794.2,-0.000167,300,false,35736,1074928.6
historical,sanitized-historical,kp-80,2,-1.444,35783.403638,1613361,-0.000166,300,false,35713,1074495.3
historical,sanitized-historical,kp-80,2.166667,-1.544,35767.141213,1612897.8,-0.000166,300,false,35689,1074032.2
historical,sanitized-historical,kp-80,2.286111,-1.613,35750.87657,1612413.9,-0.000165,300,false,35664,1073548.2
historical,sanitized-historical,kp-80,2.333333,-1.643,35736.525928,1612134.59,-0.000166,170,false,35643,1073268.8
historical,sanitized-historical,kp-80,2.434722,-1.702,35721.746623,1611623.99,-0.000165,300,false,35621,1072758.1
historical,sanitized-historical,kp-80,2.499722,-1.742,35707.597258,1611216.362,-0.000166,234,false,35599,1072351.1
historical,sanitized-historical,kp-80,2.601667,-1.802,35692.782096,1610675.762,-0.000166,300,false,35577,1071810.7
historical,sanitized-historical,kp-80,2.666667,-1.841,35678.49737,1610244.968,-0.000166,234,false,35556,1071379.7
historical,sanitized-historical,kp-80,2.768056,-1.901,35663.415594,1609674.668,-0.000166,300,false,35533,1070809.5
historical,sanitized-historical,kp-80,2.833056,-1.94,35648.802202,1609220.708,-0.000166,234,false,35511,1070353.9
historical,sanitized-historical,kp-80,2.906944,-1.98,35634.117043,1608694.028,-0.000164,266,false,35489,1069827.6
